customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,InternetService,OnlineSecurity,TechSupport,StreamingTV,MonthlyCharges,TotalCharges,Churn
CUST00044,Female,0,No,Yes,59,Two year,Yes,Mailed check,Fiber optic,No,No,No,112.16,6617.44,No
CUST00045,Female,0,Yes,No,5,One year,Yes,Credit card,DSL,No,No,No,75.57,377.85,No
CUST00046,Female,0,No,No,32,One year,No,Credit card,No,No,Yes,No,31.18,997.76,No
CUST00047,Female,0,No,No,6,Month-to-month,Yes,Mailed check,Fiber optic,Yes,Yes,Yes,41.49,248.94,No
CUST00048,Male,0,No,Yes,26,Month-to-month,Yes,Electronic check,Fiber optic,Yes,No,Yes,105.22,2735.72,Yes
CUST00049,Female,0,No,No,37,Month-to-month,No,Credit card,DSL,Yes,No,Yes,70.61,2612.57,Yes
CUST00050,Female,0,Yes,Yes,13,Month-to-month,No,Mailed check,DSL,Yes,Yes,No,118.28,1537.64,No
CUST00051,Male,0,Yes,Yes,69,One year,No,Credit card,Fiber optic,Yes,No,No,31.75,2190.75,No
CUST00052,Female,0,No,No,25,Month-to-month,Yes,Bank transfer,DSL,Yes,Yes,No,61.25,1531.25,No
CUST00053,Male,0,Yes,Yes,13,One year,Yes,Credit card,Fiber optic,No,Yes,No,53.19,691.47,No
CUST00054,Female,1,No,Yes,20,Month-to-month,No,Credit card,Fiber optic,Yes,Yes,Yes,71.61,1432.2,Yes
CUST00055,Male,0,No,Yes,60,Month-to-month,Yes,Credit card,DSL,No,No,Yes,83.34,5000.4,No
CUST00056,Female,1,Yes,No,21,Two year,Yes,Bank transfer,DSL,No,Yes,Yes,86.16,1809.36,No
CUST00057,Female,0,Yes,Yes,61,Month-to-month,Yes,Credit card,No,No,Yes,No,20.13,1227.93,Yes
CUST00058,Male,0,No,Yes,26,Month-to-month,Yes,Mailed check,DSL,No,No,No,28.9,751.4,Yes
CUST00059,Male,0,Yes,No,54,Month-to-month,Yes,Credit card,DSL,No,Yes,No,23.51,1269.54,Yes
CUST00060,Male,0,No,No,42,Month-to-month,No,Mailed check,Fiber optic,No,Yes,No,106.46,4471.32,Yes
CUST00061,Male,0,Yes,Yes,11,One year,No,Credit card,Fiber optic,Yes,No,No,51.33,564.63,No
CUST00062,Male,0,Yes,Yes,37,Month-to-month,Yes,Credit card,Fiber optic,No,No,Yes,56.71,2098.27,Yes
CUST00063,Male,0,Yes,Yes,11,Month-to-month,Yes,Credit card,Fiber optic,Yes,No,No,65.04,715.44,No
CUST00064,Male,0,Yes,Yes,27,Month-to-month,Yes,Electronic check,DSL,No,No,Yes,104.93,2833.11,Yes
CUST00065,Male,0,Yes,No,34,Two year,No,Electronic check,DSL,No,No,No,21.42,728.28,Yes
CUST00066,Female,0,No,No,38,Month-to-month,No,Bank transfer,Fiber optic,No,No,Yes,31.86,1210.68,Yes
CUST00067,Female,0,Yes,Yes,61,Month-to-month,No,Mailed check,No,No,No,No,88.52,5399.72,Yes
CUST00068,Male,0,Yes,No,53,Month-to-month,No,Bank transfer,Fiber optic,Yes,No,No,116.39,6168.67,Yes
CUST00069,Female,0,No,Yes,65,Month-to-month,No,Mailed check,DSL,Yes,No,Yes,84.28,5478.2,No
CUST00070,Female,1,No,No,3,Month-to-month,Yes,Bank transfer,DSL,Yes,No,No,46.11,138.33,Yes
CUST00071,Female,0,No,No,67,Month-to-month,Yes,Bank transfer,DSL,Yes,No,No,71.99,4823.33,No
CUST00072,Female,1,Yes,Yes,28,Month-to-month,Yes,Credit card,Fiber optic,No,No,No,117.5,3290.0,Yes
CUST00073,Male,0,Yes,Yes,14,Month-to-month,Yes,Credit card,DSL,No,No,Yes,72.81,1019.34,No
CUST00074,Female,0,No,Yes,52,Month-to-month,No,Credit card,DSL,Yes,No,No,57.35,2982.2,No
CUST00075,Male,0,No,Yes,30,Two year,Yes,Credit card,Fiber optic,No,Yes,No,58.34,1750.2,Yes
CUST00076,Female,0,No,No,58,One year,Yes,Credit card,Fiber optic,No,No,No,116.7,6768.6,Yes
CUST00077,Female,1,No,No,54,Month-to-month,Yes,Bank transfer,Fiber optic,Yes,No,No,91.89,4962.06,Yes
CUST00078,Female,0,Yes,Yes,69,Month-to-month,Yes,Mailed check,Fiber optic,Yes,Yes,No,88.72,6121.68,No
CUST00079,Male,0,Yes,No,15,One year,No,Electronic check,Fiber optic,No,Yes,Yes,43.21,648.15,No
CUST00080,Female,0,Yes,No,38,Two year,No,Electronic check,DSL,Yes,Yes,Yes,75.95,2886.1,No
CUST00081,Male,0,Yes,Yes,14,Month-to-month,Yes,Mailed check,Fiber optic,No,No,Yes,55.67,779.38,Yes
CUST00082,Female,1,Yes,Yes,57,One year,Yes,Electronic check,DSL,No,Yes,Yes,44.02,2509.14,Yes
CUST00083,Male,0,No,No,59,Month-to-month,Yes,Bank transfer,DSL,No,No,No,109.56,6464.04,Yes
CUST00084,Female,0,Yes,Yes,8,Month-to-month,Yes,Mailed check,Fiber optic,No,No,No,58.32,466.56,Yes
CUST00085,Male,0,No,Yes,19,Two year,No,Mailed check,Fiber optic,No,Yes,Yes,48.28,917.32,No
CUST00086,Male,0,No,No,32,One year,No,Electronic check,Fiber optic,No,Yes,Yes,113.17,3621.44,No
CUST00087,Female,0,No,No,29,Two year,Yes,Electronic check,Fiber optic,No,Yes,Yes,39.73,1152.17,No
CUST00088,Male,0,Yes,Yes,41,Month-to-month,Yes,Bank transfer,Fiber optic,Yes,No,Yes,94.55,3876.55,No
CUST00089,Female,0,No,No,45,Month-to-month,No,Credit card,Fiber optic,Yes,Yes,Yes,85.27,3837.15,Yes
CUST00090,Female,0,Yes,Yes,13,One year,No,Mailed check,Fiber optic,Yes,Yes,No,112.05,1456.65,No
CUST00091,Female,0,No,Yes,27,Month-to-month,Yes,Credit card,Fiber optic,Yes,Yes,Yes,103.2,2786.4,No
CUST00092,Female,0,Yes,No,19,Month-to-month,Yes,Electronic check,DSL,Yes,Yes,No,90.53,1720.07,Yes
CUST00093,Female,0,No,No,26,Month-to-month,Yes,Mailed check,DSL,No,Yes,No,51.46,1337.96,Yes
CUST00094,Female,0,Yes,Yes,53,Month-to-month,No,Credit card,Fiber optic,No,Yes,Yes,69.56,3686.68,Yes
CUST00095,Female,0,No,Yes,51,Month-to-month,No,Bank transfer,DSL,Yes,Yes,No,114.45,5836.95,Yes
CUST00096,Female,0,No,Yes,37,One year,No,Bank transfer,Fiber optic,No,Yes,No,22.32,825.84,No
CUST00097,Female,0,No,No,9,Two year,No,Bank transfer,Fiber optic,Yes,No,No,99.43,894.87,No
CUST00098,Female,0,No,Yes,52,Month-to-month,No,Mailed check,No,No,Yes,No,45.18,2349.36,No
CUST00099,Female,0,Yes,No,54,One year,Yes,Mailed check,Fiber optic,No,No,Yes,38.5,2079.0,No
CUST00100,Male,0,Yes,Yes,3,Month-to-month,Yes,Mailed check,DSL,No,Yes,No,43.22,129.66,Yes
CUST00101,Male,0,Yes,No,69,Two year,Yes,Mailed check,Fiber optic,Yes,No,No,25.98,1792.62,No
CUST00102,Female,0,No,Yes,8,Month-to-month,Yes,Mailed check,DSL,No,No,Yes,119.2,953.6,Yes
CUST00103,Female,0,No,No,14,One year,No,Credit card,DSL,Yes,No,Yes,106.99,1497.86,Yes
CUST00104,Female,0,No,Yes,3,One year,Yes,Credit card,Fiber optic,No,Yes,Yes,72.11,216.33,No
CUST00105,Female,0,No,Yes,24,Month-to-month,No,Bank transfer,DSL,Yes,No,No,91.51,2196.24,Yes
CUST00106,Female,0,No,Yes,13,Month-to-month,No,Credit card,DSL,Yes,No,Yes,75.66,983.58,Yes
CUST00107,Female,0,No,Yes,43,Two year,Yes,Credit card,No,Yes,Yes,No,101.16,4349.88,No
CUST00108,Female,0,Yes,No,29,Month-to-month,Yes,Bank transfer,Fiber optic,No,Yes,Yes,104.48,3029.92,Yes
CUST00109,Female,0,Yes,No,51,One year,Yes,Bank transfer,Fiber optic,No,No,No,43.28,2207.28,No
CUST00110,Male,0,Yes,No,42,Two year,Yes,Electronic check,Fiber optic,No,Yes,Yes,65.97,2770.74,No
CUST00111,Female,0,Yes,No,31,Month-to-month,Yes,Bank transfer,Fiber optic,No,Yes,Yes,83.48,2587.88,Yes
CUST00112,Male,0,Yes,No,63,Two year,Yes,Credit card,DSL,Yes,Yes,No,117.84,7423.92,No
CUST00113,Female,0,Yes,Yes,26,Two year,No,Mailed check,Fiber optic,No,No,Yes,88.27,2295.02,Yes
CUST00114,Female,0,Yes,No,18,One year,No,Bank transfer,Fiber optic,Yes,No,Yes,109.76,1975.68,Yes
CUST00115,Male,0,Yes,No,57,Month-to-month,No,Electronic check,DSL,Yes,Yes,No,104.61,5962.77,Yes
CUST00116,Female,0,No,No,7,Month-to-month,Yes,Credit card,Fiber optic,No,No,Yes,78.21,547.47,Yes
CUST00117,Male,0,No,No,48,Month-to-month,No,Electronic check,Fiber optic,Yes,Yes,Yes,109.37,5249.76,Yes
CUST00118,Female,0,No,Yes,60,One year,Yes,Electronic check,DSL,No,Yes,No,57.74,3464.4,No
CUST00119,Female,0,No,Yes,33,One year,Yes,Credit card,DSL,No,Yes,No,57.93,1911.69,No
CUST00120,Male,0,No,Yes,3,One year,No,Electronic check,DSL,No,Yes,Yes,98.1,294.3,No
CUST00121,Female,0,No,Yes,4,Month-to-month,No,Credit card,Fiber optic,Yes,Yes,Yes,33.45,133.8,Yes
CUST00122,Male,1,No,No,4,Month-to-month,Yes,Electronic check,Fiber optic,No,No,No,50.58,202.32,Yes
CUST00123,Female,0,Yes,No,42,One year,Yes,Mailed check,Fiber optic,Yes,Yes,No,80.86,3396.12,No
CUST00124,Male,1,Yes,Yes,9,One year,No,Bank transfer,Fiber optic,No,No,Yes,62.01,558.09,Yes
CUST00125,Male,0,No,Yes,51,Two year,No,Mailed check,Fiber optic,No,Yes,No,114.07,5817.57,No
CUST00126,Female,1,Yes,No,17,One year,No,Mailed check,Fiber optic,No,Yes,Yes,115.85,1969.45,No
CUST00127,Female,0,Yes,No,17,One year,No,Electronic check,Fiber optic,Yes,No,Yes,70.26,1194.42,No
CUST00128,Male,0,Yes,Yes,20,One year,No,Bank transfer,No,Yes,No,No,73.91,1478.2,No
CUST00129,Female,0,Yes,Yes,14,One year,No,Bank transfer,No,Yes,No,No,92.46,1294.44,No
CUST00130,Female,0,Yes,Yes,22,Month-to-month,Yes,Bank transfer,No,No,No,No,65.73,1446.06,Yes
CUST00131,Female,0,No,Yes,52,Two year,No,Electronic check,Fiber optic,No,Yes,No,39.01,2028.52,Yes
CUST00132,Male,0,Yes,No,27,One year,Yes,Mailed check,No,Yes,Yes,Yes,94.7,2556.9,No
CUST00133,Male,0,No,No,43,Month-to-month,Yes,Credit card,Fiber optic,No,No,No,93.78,4032.54,Yes
CUST00134,Male,0,No,No,3,Month-to-month,No,Credit card,Fiber optic,No,No,Yes,44.5,133.5,No
CUST00135,Male,0,No,Yes,8,Month-to-month,No,Credit card,No,No,No,Yes,103.29,826.32,Yes
CUST00136,Male,0,Yes,No,10,Month-to-month,No,Bank transfer,No,No,No,Yes,81.36,813.6,No
CUST00137,Male,1,No,No,29,Month-to-month,Yes,Credit card,Fiber optic,Yes,No,Yes,43.63,1265.27,Yes
CUST00138,Male,0,No,Yes,40,Month-to-month,Yes,Mailed check,Fiber optic,Yes,No,Yes,85.2,3408.0,Yes
CUST00139,Male,1,No,Yes,65,Month-to-month,No,Credit card,DSL,Yes,No,No,43.36,2818.4,Yes
CUST00140,Male,0,No,Yes,21,Month-to-month,No,Bank transfer,DSL,Yes,No,No,46.52,976.92,Yes
CUST00141,Female,0,Yes,Yes,24,One year,Yes,Bank transfer,Fiber optic,No,Yes,Yes,104.8,2515.2,No
CUST00142,Male,0,No,Yes,60,Month-to-month,Yes,Credit card,DSL,Yes,Yes,No,112.95,6777.0,No
CUST00143,Female,0,No,Yes,26,Month-to-month,No,Bank transfer,Fiber optic,Yes,No,No,45.69,1187.94,Yes
CUST00144,Female,0,No,No,9,Month-to-month,No,Credit card,Fiber optic,No,Yes,Yes,112.81,1015.29,Yes
CUST00145,Female,0,No,No,20,Month-to-month,No,Bank transfer,Fiber optic,Yes,No,Yes,43.88,877.6,Yes
CUST00146,Male,0,Yes,No,56,Month-to-month,Yes,Electronic check,No,No,Yes,No,31.73,1776.88,Yes
CUST00147,Male,1,No,No,36,One year,Yes,Electronic check,Fiber optic,No,No,Yes,25.82,929.52,Yes
CUST00148,Male,0,No,No,36,One year,No,Mailed check,Fiber optic,Yes,Yes,No,44.21,1591.56,No
CUST00149,Male,0,No,No,22,Month-to-month,No,Electronic check,Fiber optic,Yes,No,No,58.52,1287.44,No
CUST00150,Female,0,No,Yes,1,One year,No,Credit card,Fiber optic,Yes,Yes,Yes,112.75,112.75,No
CUST00151,Male,0,No,Yes,69,Month-to-month,Yes,Bank transfer,DSL,No,Yes,No,44.22,3051.18,Yes
CUST00152,Male,0,No,Yes,37,Two year,Yes,Mailed check,DSL,No,No,No,56.55,2092.35,No
CUST00153,Male,0,Yes,No,13,Two year,Yes,Credit card,No,Yes,Yes,Yes,93.42,1214.46,No
CUST00154,Male,0,No,No,43,Month-to-month,No,Credit card,Fiber optic,No,Yes,Yes,50.21,2159.03,No
CUST00155,Male,0,Yes,Yes,37,One year,No,Mailed check,Fiber optic,Yes,Yes,No,88.44,3272.28,No
CUST00156,Female,0,Yes,Yes,25,One year,No,Mailed check,Fiber optic,No,Yes,Yes,63.21,1580.25,No
CUST00157,Male,0,No,Yes,21,One year,Yes,Credit card,DSL,Yes,No,No,39.64,832.44,No
CUST00158,Female,1,Yes,Yes,41,One year,Yes,Bank transfer,Fiber optic,No,No,Yes,93.41,3829.81,Yes
CUST00159,Male,0,No,Yes,42,Two year,Yes,Credit card,DSL,No,No,Yes,22.7,953.4,No
CUST00160,Female,0,Yes,No,42,Month-to-month,No,Bank transfer,Fiber optic,Yes,Yes,No,49.23,2067.66,Yes
CUST00161,Male,0,No,No,2,One year,No,Mailed check,Fiber optic,No,No,No,55.62,111.24,No
CUST00162,Male,1,Yes,No,68,One year,Yes,Credit card,Fiber optic,Yes,Yes,No,65.82,4475.76,Yes
CUST00163,Female,0,Yes,Yes,8,One year,No,Electronic check,Fiber optic,No,Yes,Yes,87.99,703.92,No
CUST00164,Female,0,No,No,61,One year,No,Credit card,No,Yes,Yes,No,65.94,4022.34,No
CUST00165,Female,0,Yes,Yes,14,Month-to-month,Yes,Bank transfer,Fiber optic,Yes,No,Yes,79.43,1112.02,Yes
CUST00166,Male,0,Yes,No,21,Month-to-month,Yes,Credit card,Fiber optic,Yes,No,Yes,79.58,1671.18,Yes
CUST00167,Female,0,Yes,Yes,24,Month-to-month,Yes,Bank transfer,Fiber optic,No,Yes,No,57.33,1375.92,Yes
CUST00168,Male,0,Yes,Yes,50,Month-to-month,Yes,Electronic check,Fiber optic,Yes,Yes,No,113.4,5670.0,No
CUST00169,Male,0,Yes,No,45,Month-to-month,Yes,Mailed check,DSL,No,No,Yes,115.59,5201.55,No
CUST00170,Female,0,No,No,64,Two year,No,Electronic check,DSL,Yes,Yes,No,78.19,5004.16,No
CUST00171,Female,0,Yes,No,64,One year,Yes,Bank transfer,Fiber optic,No,Yes,Yes,27.17,1738.88,Yes
CUST00172,Male,0,Yes,No,26,One year,No,Mailed check,DSL,Yes,No,Yes,69.11,1796.86,Yes
CUST00173,Male,0,No,No,32,Month-to-month,No,Mailed check,Fiber optic,No,No,Yes,38.44,1230.08,No
CUST00174,Female,0,No,Yes,57,One year,Yes,Credit card,Fiber optic,No,Yes,No,68.32,3894.24,No
CUST00175,Female,1,No,No,53,One year,Yes,Electronic check,Fiber optic,No,No,Yes,38.85,2059.05,Yes
CUST00176,Female,0,Yes,No,33,One year,No,Bank transfer,No,Yes,Yes,Yes,90.39,2982.87,No
CUST00177,Male,0,Yes,Yes,52,Month-to-month,No,Bank transfer,DSL,Yes,Yes,No,28.04,1458.08,No
CUST00178,Male,0,Yes,No,18,Month-to-month,No,Mailed check,DSL,No,No,No,115.33,2075.94,Yes
CUST00179,Male,0,Yes,Yes,35,One year,Yes,Credit card,Fiber optic,No,Yes,No,39.54,1383.9,No
CUST00180,Male,0,No,No,12,Month-to-month,No,Bank transfer,DSL,No,No,Yes,86.07,1032.84,No
CUST00181,Male,0,No,No,51,Two year,Yes,Credit card,DSL,Yes,No,No,111.7,5696.7,No
CUST00182,Male,0,Yes,Yes,10,Two year,Yes,Mailed check,Fiber optic,Yes,No,Yes,44.79,447.9,No
CUST00183,Female,0,Yes,No,52,Two year,No,Mailed check,No,No,Yes,Yes,113.43,5898.36,No
CUST00184,Male,0,Yes,No,34,One year,Yes,Mailed check,Fiber optic,Yes,No,Yes,58.87,2001.58,No
CUST00185,Male,0,Yes,No,67,Two year,No,Credit card,Fiber optic,Yes,Yes,No,116.05,7775.35,Yes
CUST00186,Male,0,No,No,39,One year,No,Bank transfer,Fiber optic,Yes,Yes,Yes,117.14,4568.46,No
CUST00187,Female,0,No,Yes,8,Month-to-month,Yes,Electronic check,Fiber optic,Yes,No,Yes,38.81,310.48,No
CUST00188,Male,0,Yes,Yes,29,Month-to-month,Yes,Credit card,Fiber optic,Yes,Yes,No,103.11,2990.19,Yes
CUST00189,Male,0,No,No,22,Month-to-month,No,Mailed check,Fiber optic,No,No,Yes,39.34,865.48,Yes
CUST00190,Female,0,Yes,No,70,Month-to-month,Yes,Electronic check,DSL,No,No,No,42.64,2984.8,Yes
CUST00191,Male,0,Yes,Yes,61,Month-to-month,Yes,Electronic check,No,Yes,No,No,28.41,1733.01,No
CUST00192,Male,0,No,Yes,43,Month-to-month,No,Electronic check,Fiber optic,No,Yes,No,35.65,1532.95,Yes
CUST00193,Male,0,Yes,No,49,One year,Yes,Electronic check,Fiber optic,Yes,No,No,83.22,4077.78,No
CUST00194,Male,0,No,Yes,29,Month-to-month,No,Electronic check,No,No,No,Yes,64.93,1882.97,Yes
CUST00195,Male,1,Yes,Yes,31,Month-to-month,No,Mailed check,DSL,Yes,No,Yes,99.09,3071.79,Yes
CUST00196,Female,0,No,Yes,53,One year,Yes,Bank transfer,DSL,Yes,Yes,Yes,53.2,2819.6,No
CUST00197,Female,0,Yes,Yes,34,One year,No,Electronic check,Fiber optic,Yes,Yes,Yes,116.86,3973.24,No
CUST00198,Female,0,No,No,38,Two year,Yes,Bank transfer,No,No,No,No,24.99,949.62,No
CUST00199,Male,0,Yes,Yes,57,One year,No,Bank transfer,Fiber optic,No,No,Yes,26.29,1498.53,Yes
CUST00200,Male,0,Yes,No,4,Month-to-month,Yes,Credit card,DSL,No,No,No,90.14,360.56,No
CUST00201,Male,0,No,No,2,Month-to-month,No,Mailed check,Fiber optic,Yes,Yes,Yes,108.75,217.5,Yes
CUST00202,Female,1,Yes,Yes,12,Month-to-month,No,Electronic check,DSL,Yes,Yes,Yes,99.55,1194.6,Yes
CUST00203,Male,0,No,No,35,Month-to-month,Yes,Bank transfer,Fiber optic,No,Yes,No,68.98,2414.3,Yes
CUST00204,Male,0,No,No,70,Month-to-month,Yes,Credit card,DSL,No,No,Yes,46.96,3287.2,Yes
CUST00205,Female,0,Yes,Yes,21,Two year,Yes,Bank transfer,No,Yes,Yes,Yes,21.35,448.35,No
CUST00206,Male,0,Yes,Yes,61,Month-to-month,Yes,Electronic check,Fiber optic,Yes,No,No,70.95,4327.95,No
CUST00207,Female,0,Yes,Yes,35,Month-to-month,Yes,Mailed check,Fiber optic,Yes,Yes,Yes,67.56,2364.6,Yes
CUST00208,Female,0,Yes,No,48,Month-to-month,Yes,Mailed check,DSL,No,No,Yes,54.42,2612.16,Yes
CUST00209,Female,0,No,No,15,One year,Yes,Electronic check,DSL,Yes,Yes,Yes,77.81,1167.15,No
CUST00210,Male,0,Yes,No,71,Month-to-month,Yes,Bank transfer,No,Yes,Yes,No,92.88,6594.48,No
CUST00211,Male,0,Yes,No,15,Month-to-month,Yes,Credit card,DSL,Yes,Yes,No,90.09,1351.35,No
CUST00212,Male,0,Yes,Yes,6,Month-to-month,No,Mailed check,Fiber optic,Yes,Yes,Yes,46.33,277.98,No
CUST00213,Male,0,No,No,68,Month-to-month,Yes,Mailed check,DSL,No,No,Yes,78.53,5340.04,No
CUST00214,Male,0,Yes,Yes,22,Month-to-month,No,Bank transfer,Fiber optic,Yes,No,Yes,34.88,767.36,No
CUST00215,Male,0,No,Yes,32,Month-to-month,Yes,Bank transfer,DSL,No,No,No,32.16,1029.12,No
CUST00216,Male,0,Yes,Yes,22,Month-to-month,Yes,Bank transfer,Fiber optic,Yes,Yes,Yes,98.59,2168.98,No
CUST00217,Female,0,No,Yes,27,One year,No,Credit card,Fiber optic,No,No,No,89.37,2412.99,No
CUST00218,Male,1,Yes,No,15,Month-to-month,No,Bank transfer,Fiber optic,No,Yes,No,96.79,1451.85,Yes
CUST00219,Female,0,Yes,Yes,44,One year,Yes,Credit card,DSL,No,Yes,Yes,35.25,1551.0,No
CUST00220,Male,0,No,No,9,Month-to-month,No,Electronic check,Fiber optic,No,Yes,No,111.46,1003.14,Yes
CUST00221,Male,1,Yes,Yes,34,Month-to-month,Yes,Credit card,Fiber optic,Yes,No,No,33.31,1132.54,Yes
CUST00222,Male,0,Yes,Yes,15,Month-to-month,No,Bank transfer,DSL,No,Yes,No,107.0,1605.0,Yes
CUST00223,Female,0,Yes,Yes,62,Month-to-month,Yes,Credit card,Fiber optic,No,Yes,No,55.24,3424.88,No
CUST00224,Female,0,No,No,45,Month-to-month,No,Credit card,No,Yes,Yes,No,30.54,1374.3,No
CUST00225,Female,0,Yes,Yes,58,Month-to-month,Yes,Credit card,DSL,No,Yes,Yes,48.68,2823.44,Yes
CUST00226,Female,0,No,Yes,19,One year,No,Mailed check,Fiber optic,No,No,No,38.14,724.66,No
CUST00227,Male,0,No,Yes,16,One year,Yes,Bank transfer,Fiber optic,Yes,No,No,69.07,1105.12,No
CUST00228,Female,0,No,Yes,8,One year,No,Credit card,DSL,No,No,No,114.97,919.76,Yes
CUST00229,Male,0,Yes,No,33,Month-to-month,Yes,Bank transfer,DSL,Yes,No,No,52.79,1742.07,Yes
CUST00230,Male,0,No,No,18,One year,Yes,Electronic check,Fiber optic,No,No,No,81.21,1461.78,Yes
CUST00231,Female,0,No,Yes,35,Month-to-month,Yes,Credit card,Fiber optic,No,Yes,Yes,109.17,3820.95,Yes
CUST00232,Female,0,Yes,Yes,43,One year,No,Credit card,DSL,No,No,Yes,83.01,3569.43,No
